,Proclitic,Ortografía manipulada,verbo conjugado,mandato negativo,infinitivo (clitic climbing),Gerundio (clitic climbing),mandato afirmativo,,,,,,,,,la habrás olvidado
1357,,,nos gusta,,,,,,,,,,,,,me pareces
1358,,,nos ha contagiado,,,,,,,,,,,,,me pasa
1359,,,nos ha contagiado,,,,,,,,,,,,,me pasa
1360,,,nos ha contagiado,,,,,,,,,,,,,me pasa
1361,,,nos ha hecho,,,,,,,,,,,,,me pasa
1362,,,nos ha mostrado,,,,,,,,,,,,,me pasa
1363,,,nos ha traído,,,,,,,,,,,,,me pasa
1364,,,nos habituamos,,,,,,,,,,,,,me pasa
1365,,,nos habituamos,,,,,,,,,,,,,me pasa
1366,,,nos hablemos,,,,,,,,,,,,,me pasa
1367,,,nos hablemos,,,,,,,,,,,,,me pasa
1368,,,nos hacen,,,,,,,,,,,,,me pasa
1369,,,nos han arrebatado,,,,,,,,,,,,,me perdonas
1370,,,nos han hecho,,,,,,,,,,,,,me pesca
1371,,,nos han juntado,,,,,,,,,,,,,me pide
1372,,,nos han pervertido,,,,,,,,,,,,,me place
1373,,,nos hayamos casado,,,,,,,,,,,,,me preguntas
1374,,,nos hemos,,,,,,,,,,,,,me prendé
1375,,,nos hemos puesto,,,,,,,,,,,,,me producen
1376,,,nos hicimos,,,,,,,,,,,,,Me promete
1377,,,nos hubiéramos escapado,,,,,,,,,,,,,me promete
1378,,,nos iba,,,,,,,,,,,,,me promete
1379,,,nos importa,,,,,,,,,,,,,me promete
1380,,,nos importa,,,,,,,,,,,,,me prometes
1381,,,nos importa,,,,,,,,,,,,,me puede
1382,,,nos insulta,,,,,,,,,,,,,me puedo
1383,,,nos llamamos,,,,,,,,,,,,,me queda
1384,,,nos llaman,,,,,,,,,,,,,me quedan
1385,,,nos llegan,,,,,,,,,,,,,me quiere
1386,,,nos lo ha pagado,,,,,,,,,,,,,me quiere
1387,,,nos lo hacemos,,,,,,,,,,,,,me quiere
1388,,,nos lo muestran,,,,,,,,,,,,,me quiere
1389,,,nos mata,,,,,,,,,,,,,me quiere
1390,,,nos miramos,,,,,,,,,,,,,me quiere
1391,,,nos moleta,,,,,,,,,,,,,me quiere
1392,,,nos parece,,,,,,,,,,,,,me quiere
1393,,,nos pasa,,,,,,,,,,,,,me quiere
1394,,,nos permitimos,,,,,,,,,,,,,me quiere
1395,,,nos permitirá,,,,,,,,,,,,,me quiere
1396,,,nos proteja,,,,,,,,,,,,,me quieres
1397,,,nos pusimos,,,,,,,,,,,,,me quieres
1398,,,nos pusimos,,,,,,,,,,,,,me quiero
1399,,,nos quede,,,,,,,,,,,,,me reconoce
1400,,,nos rechaza,,,,,,,,,,,,,me recuerda
1401,,,nos rendimos,,,,,,,,,,,,,me recuerda
1402,,,nos reunimos,,,,,,,,,,,,,me resuelvo
1403,,,nos revelan,,,,,,,,,,,,,me rodean
1404,,,nos saca,,,,,,,,,,,,,me siento
1405,,,nos sentíamos,,,,,,,,,,,,,me siento
1406,,,nos sentimos,,,,,,,,,,,,,me sobra
1407,,,nos separan,,,,,,,,,,,,,me sobra
1408,,,nos separará,,,,,,,,,,,,,me sobra
1409,,,nos suena,,,,,,,,,,,,,me sobra
1410,,,nos tiene,,,,,,,,,,,,,me subyuga
1411,,,nos traemos,,,,,,,,,,,,,me supongo
1412,,,nos tuvieron,,,,,,,,,,,,,me supongo
1413,,,nos unimos,,,,,,,,,,,,,me temo
1414,,,nos va,,,,,,,,,,,,,me tengo
1415,,,nos va,,,,,,,,,,,,,me tienes
1416,,,nos veamos,,,,,,,,,,,,,me toco
1418,,,nos vayamos,,,,,,,,,,,,,me toma
1417,,,nos veamos,,,,,,,,,,,,,me trae
1419,,,nos vimos,,,,,,,,,,,,,me traéis
1420,,,nos viene,,,,,,,,,,,,,me traes
1421,,,nos vimos,,,,,,,,,,,,,me turban
1422,,,os caso,,,,,,,,,,,,,me va
1423,,,os consideráis,,,,,,,,,,,,,me va
1424,,,os cuestra,,,,,,,,,,,,,me va
1425,,,os dejo,,,,,,,,,,,,,me va
1426,,,os gusta,,,,,,,,,,,,,me va a dar
1427,,,os lo dijo,,,,,,,,,,,,,Me va a quemar
1428,,,os maten,,,,,,,,,,,,,me van
1429,,,os quepa,,,,,,,,,,,,,me vas
1430,,,os quepa,,,,,,,,,,,,,me ve
1431,,,os queréis,,,,,,,,,,,,,me viene
1432,,,se abrió,,,,,,,,,,,,,me vienes
1433,,,se abrió,,,,,,,,,,,,,me voy
1434,,,se abrió,,,,,,,,,,,,,me voy enamorando
1435,,,se acabe,,,,,,,,,,,,,me vuelves
1436,,,se acabe,,,,,,,,,,,,,me vuelvo
1437,,,se acercaba,,,,,,,,,,,,,nos aburrimos
1438,,,se acercó,,,,,,,,,,,,,nos acaricia
1439,,,se acordaba,,,,,,,,,,,,,nos calmamos
1440,,,se acordaba,,,,,,,,,,,,,nos casa
1441,,,se acordaba,,,,,,,,,,,,,nos casamos
1442,,,se acordó,,,,,,,,,,,,,nos casamos
1443,,,se acordó,,,,,,,,,,,,,nos catiga
1444,,,se acordó,,,,,,,,,,,,,nos contentamos
1445,,,se acostaba,,,,,,,,,,,,,nos cuenta
1446,,,se acostó,,,,,,,,,,,,,nos cuenta
1447,,,se acostó,,,,,,,,,,,,,nos cuidamos
1448,,,se acostumbra,,,,,,,,,,,,,nos da
1449,,,se acueste,,,,,,,,,,,,,nos da
1450,,,se adelanta ,,,,,,,,,,,,,nos dejan
1451,,,se adivina,,,,,,,,,,,,,nos dice
1452,,,se admire,,,,,,,,,,,,,nos empujan
1453,,,se afea,,,,,,,,,,,,,nos encontramos
1454,,,se agachó,,,,,,,,,,,,,nos entendemos
1455,,,se agarra,,,,,,,,,,,,,nos entendemos
1456,,,se ahorrase,,,,,,,,,,,,,nos finge
1457,,,se ahorrase,,,,,,,,,,,,,nos gusta
1458,,,se alarmó,,,,,,,,,,,,,nos habituamos
1459,,,se alimenta,,,,,,,,,,,,,nos habituamos
1460,,,se altere,,,,,,,,,,,,,nos hacen
1461,,,se añade,,,,,,,,,,,,,nos importa
1462,,,se apagara,,,,,,,,,,,,,nos importa
1463,,,se aparten,,,,,,,,,,,,,nos importa
1464,,,se apoyó,,,,,,,,,,,,,nos insulta
1465,,,se aprende,,,,,,,,,,,,,nos llamamos
1466,,,se arregla,,,,,,,,,,,,,nos llaman
1467,,,se arregla,,,,,,,,,,,,,nos llegan
1468,,,se arregla,,,,,,,,,,,,,nos lo hacemos
1469,,,se arreglaba,,,,,,,,,,,,,nos lo muestran
1470,,,se arregle,,,,,,,,,,,,,nos mata
1471,,,Se arrodilló,,,,,,,,,,,,,nos miramos
1472,,,se arrodilló,,,,,,,,,,,,,nos moleta
1473,,,se arrolla,,,,,,,,,,,,,nos parece
1474,,,se asombran,,,,,,,,,,,,,nos pasa
1475,,,se aterró,,,,,,,,,,,,,nos permitimos
1476,,,se atrevió,,,,,,,,,,,,,nos rechaza
1477,,,se atusó,,,,,,,,,,,,,nos rendimos
1478,,,se avenga,,,,,,,,,,,,,nos reunimos
1479,,,Se borrará,,,,,,,,,,,,,nos revelan
1480,,,se burlaba,,,,,,,,,,,,,nos saca
1481,,,se burlaron,,,,,,,,,,,,,nos sentimos
1482,,,se burle,,,,,,,,,,,,,nos separan
1483,,,se calle,,,,,,,,,,,,,nos suena
1484,,,se calló,,,,,,,,,,,,,nos tiene
1485,,,se calló,,,,,,,,,,,,,nos traemos
1486,,,se casa,,,,,,,,,,,,,nos unimos
1487,,,se casa,,,,,,,,,,,,,nos va
1488,,,se casa,,,,,,,,,,,,,nos va
1489,,,se casara,,,,,,,,,,,,,nos viene
1490,,,se casaron,,,,,,,,,,,,,os caso
1491,,,se casase,,,,,,,,,,,,,os consideráis
1492,,,se casase,,,,,,,,,,,,,os cuestra
1493,,,se casase,,,,,,,,,,,,,os dejo
1494,,,se casase,,,,,,,,,,,,,os gusta
1495,,,se case,,,,,,,,,,,,,os queréis
1496,,,se case,,,,,,,,,,,,,se acostumbra
1497,,,se chala,,,,,,,,,,,,,se adelanta 
1498,,,se chala,,,,,,,,,,,,,se adivina
1499,,,se cierra,,,,,,,,,,,,,se afea
1500,,,se come,,,,,,,,,,,,,se agarra
1501,,,se compadece,,,,,,,,,,,,,se alimenta
1502,,,se compadecían,,,,,,,,,,,,,se añade
1503,,,se complace,,,,,,,,,,,,,se aprende
1504,,,se complace,,,,,,,,,,,,,se arregla
1505,,,se compra,,,,,,,,,,,,,se arregla
1506,,,se compra,,,,,,,,,,,,,se arregla
1507,,,se compran,,,,,,,,,,,,,se arrolla
1508,,,se comprende,,,,,,,,,,,,,se asombran
1509,,,se comprende,,,,,,,,,,,,,se casa
1510,,,se comprende,,,,,,,,,,,,,se casa
1511,,,se comprende,,,,,,,,,,,,,se casa
1512,,,se comprenderá,,,,,,,,,,,,,se chala
1513,,,se concretó,,,,,,,,,,,,,se chala
1514,,,se confunde,,,,,,,,,,,,,se cierra
1515,,,se confundían,,,,,,,,,,,,,se come
1516,,,se confundirá,,,,,,,,,,,,,se compadece
1517,,,se conoce,,,,,,,,,,,,,se complace
1518,,,se conoce,,,,,,,,,,,,,se complace
1519,,,se conoce,,,,,,,,,,,,,se compra
1520,,,se conoce,,,,,,,,,,,,,se compra
1521,,,se conocen,,,,,,,,,,,,,se compran
1522,,,se conocen,,,,,,,,,,,,,se comprende
1523,,,se conocen,,,,,,,,,,,,,se comprende
1524,,,se conozca,,,,,,,,,,,,,se comprende
1525,,,se conservan,,,,,,,,,,,,,se comprende
1526,,,se consuela,,,,,,,,,,,,,se confunde
1527,,,se consuela,,,,,,,,,,,,,se conoce
1528,,,se contagian,,,,,,,,,,,,,se conoce
1529,,,se contemplan,,,,,,,,,,,,,se conoce
1530,,,se contenta,,,,,,,,,,,,,se conoce
1531,,,se convirtiera,,,,,,,,,,,,,se conocen
1532,,,se convive,,,,,,,,,,,,,se conocen
1533,,,se crea,,,,,,,,,,,,,se conocen
1534,,,se crea,,,,,,,,,,,,,se conservan
1535,,,se crea,,,,,,,,,,,,,se consuela
1536,,,se crea,,,,,,,,,,,,,se consuela
1537,,,se cree,,,,,,,,,,,,,se contagian
1538,,,se cree,,,,,,,,,,,,,se contemplan
1539,,,se cree,,,,,,,,,,,,,se contenta
1540,,,se cree,,,,,,,,,,,,,se convive
1541,,,se cree,,,,,,,,,,,,,se crea
1542,,,se cría,,,,,,,,,,,,,se crea
1543,,,se cruza,,,,,,,,,,,,,se crea
1544,,,se cura,,,,,,,,,,,,,se crea
1545,,,se curó,,,,,,,,,,,,,se cree
1546,,,se da,,,,,,,,,,,,,se cree
1547,,,se da cuenta,,,,,,,,,,,,,se cree
1548,,,se dan,,,,,,,,,,,,,se cree
1549,,,se dan cuenta,,,,,,,,,,,,,se cree
1550,,,se dé,,,,,,,,,,,,,se cría
1551,,,se debe,,,,,,,,,,,,,se cruza
1552,,,se debe otogar,,,,,,,,,,,,,se cura
1553,,,se deberá,,,,,,,,,,,,,se da
1554,,,se decía,,,,,,,,,,,,,se da cuenta
1555,,,se decía,,,,,,,,,,,,,se dan
1556,,,se decía,,,,,,,,,,,,,se dan cuenta
1557,,,se decía,,,,,,,,,,,,,se debe
1558,,,se decía,,,,,,,,,,,,,se debe otogar
1559,,,se decía,,,,,,,,,,,,,Se dedica
1560,,,se decía,,,,,,,,,,,,,se dedican
1561,,,se decía,,,,,,,,,,,,,se dedican
1562,,,se decía,,,,,,,,,,,,,se desarrollan
1563,,,se decía,,,,,,,,,,,,,se deshace
1564,,,se decía,,,,,,,,,,,,,se desteje
1565,,,se decía,,,,,,,,,,,,,se dice
1566,,,se decía,,,,,,,,,,,,,se dice
1567,,,se decía,,,,,,,,,,,,,se dicen
1568,,,se decía,,,,,,,,,,,,,se dicen
1569,,,se decía,,,,,,,,,,,,,se diferencia
1570,,,se decía,,,,,,,,,,,,,se diferencia
1571,,,se decía,,,,,,,,,,,,,se dirige
1572,,,se decía,,,,,,,,,,,,,se dirige
1573,,,se decidió,,,,,,,,,,,,,se duerme
1574,,,Se dedica,,,,,,,,,,,,,Se empeña
1575,,,se dedicaba,,,,,,,,,,,,,se empeña
1576,,,se dedicaba,,,,,,,,,,,,,se empeña
1577,,,se dedicaba,,,,,,,,,,,,,se empeña
1578,,,se dedicaba,,,,,,,,,,,,,se empeña
1579,,,se dedican,,,,,,,,,,,,,se empeña
1580,,,se dedican,,,,,,,,,,,,,se empeña 
1581,,,se dedique,,,,,,,,,,,,,se enamora
1582,,,se dedique,,,,,,,,,,,,,se enamora
1583,,,se defendió,,,,,,,,,,,,,se enamora
1584,,,se defiende,,,,,,,,,,,,,se enamora
1585,,,se dejaba,,,,,,,,,,,,,se enamora
1586,,,se dejaba,,,,,,,,,,,,,se enamoran
1587,,,se dejó,,,,,,,,,,,,,se encuentra
1588,,,se demudó,,,,,,,,,,,,,se encuentra
1589,,,se deposite,,,,,,,,,,,,,se encuentran
1590,,,se derramaba,,,,,,,,,,,,,se engaña
1591,,,se desarrollan,,,,,,,,,,,,,se engaña
1592,,,se desfigure,,,,,,,,,,,,,se enternecen
1593,,,se deshace,,,,,,,,,,,,,se entiende
1594,,,se deshizo,,,,,,,,,,,,,se entiende
1595,,,se deshizo,,,,,,,,,,,,,se entienden
1596,,,se desmoronaban,,,,,,,,,,,,,se entrecruzan
1597,,,se desperdiciaron,,,,,,,,,,,,,se entrera
1598,,,se despertaban,,,,,,,,,,,,,se entristece
1599,,,se despertó,,,,,,,,,,,,,se entusiasman
1600,,,se despidieron,,,,,,,,,,,,,se envejece
1601,,,se despidió,,,,,,,,,,,,,se envejece
1602,,,se desquitaría,,,,,,,,,,,,,se equivoca
1603,,,se desteje,,,,,,,,,,,,,se escandalizan
1604,,,se detuvo,,,,,,,,,,,,,se está
1605,,,se detuvo,,,,,,,,,,,,,se exalta
1606,,,se dice,,,,,,,,,,,,,se existe
1607,,,se dice,,,,,,,,,,,,,se expresa
1608,,,se dicen,,,,,,,,,,,,,se extiende
1609,,,se dicen,,,,,,,,,,,,,se gana
1610,,,se diese,,,,,,,,,,,,,se habla
1611,,,se diferencia,,,,,,,,,,,,,se hace
1612,,,se diferencia,,,,,,,,,,,,,se hace
1613,,,se dijo,,,,,,,,,,,,,se hace
1614,,,se dijo,,,,,,,,,,,,,se hace
1615,,,se dijo,,,,,,,,,,,,,se hace
1616,,,se dijo,,,,,,,,,,,,,se hace sufrir
1617,,,se dijo,,,,,,,,,,,,,se hacen
1618,,,se dijo,,,,,,,,,,,,,se harta
1619,,,se dijo,,,,,,,,,,,,,se hunde
1620,,,se dijo,,,,,,,,,,,,,se imagina
1621,,,se dijo,,,,,,,,,,,,,se infligen
1622,,,se dijo,,,,,,,,,,,,,se inventan
1623,,,se dijo,,,,,,,,,,,,,se inventan
1624,,,se dijo,,,,,,,,,,,,,se inventan
1625,,,se dijo,,,,,,,,,,,,,se juega
1626,,,se dijo,,,,,,,,,,,,,se la llama
1627,,,se dijo,,,,,,,,,,,,,se la lleva
1628,,,se dijo,,,,,,,,,,,,,se la llevó
1629,,,se dijo,,,,,,,,,,,,,se la regalo
1630,,,se dijo,,,,,,,,,,,,,se las agradezco
1631,,,se dijo,,,,,,,,,,,,,se las mira
1632,,,se dijo,,,,,,,,,,,,,se las ve
1633,,,se dijo,,,,,,,,,,,,,se le figura
1634,,,se dijo,,,,,,,,,,,,,se le hacen
1635,,,se dijo,,,,,,,,,,,,,se le llama
1636,,,se dijo,,,,,,,,,,,,,se le ocurre
1637,,,se dijo,,,,,,,,,,,,,se le ocurre
1638,,,se dio cuenta,,,,,,,,,,,,,se le ocurren
1639,,,se dio cuenta,,,,,,,,,,,,,Se le ofrece
1640,,,se dirían,,,,,,,,,,,,,se le pasea
1641,,,se dirige,,,,,,,,,,,,,se le pone
1642,,,se dirige,,,,,,,,,,,,,se le prende
1643,,,se dirigió,,,,,,,,,,,,,se le puede
1644,,,se dirigió,,,,,,,,,,,,,se le revela
1645,,,se dirigió,,,,,,,,,,,,,se le viene
1646,,,se dirigió,,,,,,,,,,,,,se lee
1647,,,se dirigió,,,,,,,,,,,,,se leen
1648,,,se dirija,,,,,,,,,,,,,se les cae
1649,,,se disiparán,,,,,,,,,,,,,se les da
1650,,,se disipó,,,,,,,,,,,,,se lía
1651,,,se dispuso,,,,,,,,,,,,,se llama
1652,,,se distinguían,,,,,,,,,,,,,se llama
1653,,,se distraiga,,,,,,,,,,,,,se llama
1654,,,se duerman,,,,,,,,,,,,,se llama
1655,,,se duerme,,,,,,,,,,,,,se llama
1656,,,se echó,,,,,,,,,,,,,se llama
1657,,,se echó,,,,,,,,,,,,,se llama
1658,,,se echó,,,,,,,,,,,,,se llama
1659,,,Se empeña,,,,,,,,,,,,,se llama
1660,,,se empeña,,,,,,,,,,,,,se llaman
1661,,,se empeña,,,,,,,,,,,,,se lleva
1663,,,se empeña,,,,,,,,,,,,,se lleva
1662,,,se empeña,,,,,,,,,,,,,se lleva
1664,,,se empeña ,,,,,,,,,,,,,se lleva
1665,,,se empeña,,,,,,,,,,,,,se lleva
1666,,,se enamora,,,,,,,,,,,,,se lo aseguro
1667,,,se enamora,,,,,,,,,,,,,se lo digo
1668,,,se enamora,,,,,,,,,,,,,se lo digo
1669,,,se enamora,,,,,,,,,,,,,se lo doy
1670,,,se enamora,,,,,,,,,,,,,se lo juro
1671,,,se enamoran,,,,,,,,,,,,,se lo oímos
1672,,,se enamorasen,,,,,,,,,,,,,se matan
1673,,,se encalmó,,,,,,,,,,,,,se me antoja
1674,,,se encendió,,,,,,,,,,,,,se me antoja
1675,,,se encerró,,,,,,,,,,,,,se me antoja
1676,,,se encerró,,,,,,,,,,,,,se me antoja
1677,,,se encerró,,,,,,,,,,,,,se me antoja
1678,,,se encontraba,,,,,,,,,,,,,se me confunden
1679,,,se encontrarían,,,,,,,,,,,,,se me enciende
1680,,,se encontrase,,,,,,,,,,,,,se me lleva
1681,,,se encontró,,,,,,,,,,,,,se me oculta
1682,,,se encontró,,,,,,,,,,,,,se me ocurre
1683,,,se encontró,,,,,,,,,,,,,se me olvida
1684,,,se encontró,,,,,,,,,,,,,se me persigue
1685,,,se encontró,,,,,,,,,,,,,se me va
1686,,,se encontró,,,,,,,,,,,,,se me va a convertir
1687,,,se encontró,,,,,,,,,,,,,se me va a desmayar
1688,,,se encontró,,,,,,,,,,,,,se merece
1689,,,se encontró,,,,,,,,,,,,,se mete
1690,,,se encontró,,,,,,,,,,,,,se miente
1691,,,se encuentra,,,,,,,,,,,,,se muere
1692,,,se encuentra,,,,,,,,,,,,,se muere
1693,,,se encuentran,,,,,,,,,,,,,se muere
1694,,,se enfriaba,,,,,,,,,,,,,se muere
1695,,,se engaña,,,,,,,,,,,,,se muere
1696,,,se engaña,,,,,,,,,,,,,se muere
1697,,,se enjugaba,,,,,,,,,,,,,se mueren
1699,,,se enjugaba,,,,,,,,,,,,,se mueven
1698,,,se ensanche,,,,,,,,,,,,,se nos debe dejar
1700,,,se enteran,,,,,,,,,,,,,se nos viene
1701,,,se entera,,,,,,,,,,,,,se observan
1702,,,se enternecen,,,,,,,,,,,,,se olvida
1703,,,se enterneció,,,,,,,,,,,,,se opone
1704,,,se entiende,,,,,,,,,,,,,se os debe
1705,,,se entiende,,,,,,,,,,,,,se os pregunta
1706,,,se entienden,,,,,,,,,,,,,se parece
1707,,,se entrecruzan,,,,,,,,,,,,,se parecen
1708,,,se entrera,,,,,,,,,,,,,se pasean
1709,,,se entretuvo,,,,,,,,,,,,,se piensa
1710,,,se entristece,,,,,,,,,,,,,se piensa 
1711,,,se entusiasman,,,,,,,,,,,,,se pierde
1712,,,se envejece,,,,,,,,,,,,,se pone
1713,,,se envejece,,,,,,,,,,,,,se pone
1714,,,se equivoca,,,,,,,,,,,,,se pone
1715,,,se escandalizan,,,,,,,,,,,,,se pone
1716,,,se espere,,,,,,,,,,,,,se pregunta
1717,,,se está,,,,,,,,,,,,,se pregunta
1718,,,se estaba,,,,,,,,,,,,,se puede
1719,,,se esté dando,,,,,,,,,,,,,se puede
1720,,,se estuvo,,,,,,,,,,,,,se puede
1721,,,se exalta,,,,,,,,,,,,,se puede hacer
1722,,,se exalte,,,,,,,,,,,,,se puede hacer
1723,,,se excedió,,,,,,,,,,,,,se puede tolerar
1724,,,se existe,,,,,,,,,,,,,se purifica
1725,,,se exitaba,,,,,,,,,,,,,se queda
1726,,,se expresa,,,,,,,,,,,,,se queda
1727,,,se extiende,,,,,,,,,,,,,se queda 
1728,,,se fijaban,,,,,,,,,,,,,se quedan
1729,,,se fijó,,,,,,,,,,,,,se quiere
1730,,,se filtre,,,,,,,,,,,,,se quiere
1731,,,se fué,,,,,,,,,,,,,se quiere
1732,,,se fué,,,,,,,,,,,,,se recrea
1733,,,se fué,,,,,,,,,,,,,se rectifican
1734,,,se fué,,,,,,,,,,,,,se reducen
1735,,,se fué,,,,,,,,,,,,,se relata
1736,,,se fué,,,,,,,,,,,,,se reparte
1737,,,se fué,,,,,,,,,,,,,se reserva
1738,,,se fué,,,,,,,,,,,,,se resigna
1739,,,se fué,,,,,,,,,,,,,se resigna
1740,,,se fué,,,,,,,,,,,,,se resuelve
1741,,,se fué,,,,,,,,,,,,,se revela
1742,,,se gana,,,,,,,,,,,,,se ríe
1743,,,se ha burlado,,,,,,,,,,,,,se rozan
1744,,,se ha calmado,,,,,,,,,,,,,se sabe
1745,,,se ha casado,,,,,,,,,,,,,se sabe
1746,,,se ha casado,,,,,,,,,,,,,se sabe
1747,,,se ha convertido,,,,,,,,,,,,,se sabe
1748,,,se ha convertido,,,,,,,,,,,,,se sabe
1749,,,se ha dado,,,,,,,,,,,,,se separan
1750,,,se ha de casar,,,,,,,,,,,,,se siente
1751,,,se ha de hacer,,,,,,,,,,,,,se siente
1752,,,se ha de llamar,,,,,,,,,,,,,se siente
1753,,,se ha desfigurado,,,,,,,,,,,,,se siente
1754,,,se ha dicho,,,,,,,,,,,,,se siente
1755,,,se ha dignado,,,,,,,,,,,,,se siente
1756,,,se ha empeñado,,,,,,,,,,,,,se siente 
1757,,,se ha hecho,,,,,,,,,,,,,se siente 
1758,,,se ha hecho,,,,,,,,,,,,,se sueña
1759,,,se ha hecho,,,,,,,,,,,,,se sueña
1760,,,se ha indignado,,,,,,,,,,,,,se te ocurren
1761,,,se ha inventado,,,,,,,,,,,,,se te presenta
1762,,,se ha limitado,,,,,,,,,,,,,se te presenta
1763,,,se ha muerto,,,,,,,,,,,,,se te sirve
1764,,,se ha muerto,,,,,,,,,,,,,se teje
1765,,,se ha pasado,,,,,,,,,,,,,se tiene
1766,,,se ha percatado,,,,,,,,,,,,,se tiene
1767,,,se ha sentido,,,,,,,,,,,,,se tiene
1768,,,se ha vuelto,,,,,,,,,,,,,se trata
1769,,,se ha vuelto,,,,,,,,,,,,,se trata
1770,,,se ha vuelto,,,,,,,,,,,,,se trata
1771,,,se ha vuelto,,,,,,,,,,,,,se trata
1772,,,se ha vuelto ,,,,,,,,,,,,,se trata
1773,,,se había acordado,,,,,,,,,,,,,se unen
1774,,,se había bañado,,,,,,,,,,,,,se usa
1775,,,se había escapado,,,,,,,,,,,,,se va
1776,,,se había hecho,,,,,,,,,,,,,se va
1777,,,se había ido,,,,,,,,,,,,,se va a acabar
1778,,,se había ido,,,,,,,,,,,,,se va a acabar
1779,,,se había parado,,,,,,,,,,,,,se ve
1780,,,se había parado,,,,,,,,,,,,,se ve
1781,,,se había salido,,,,,,,,,,,,,se ve
1782,,,se había tenido,,,,,,,,,,,,,se ve
1783,,,se había ya puetso,,,,,,,,,,,,,se ve
1784,,,se habla,,,,,,,,,,,,,se ven
1785,,,se hablaron,,,,,,,,,,,,,se ven
1786,,,Se habrá tragado,,,,,,,,,,,,,se viste
1787,,,se hace,,,,,,,,,,,,,se viste
1788,,,se hace,,,,,,,,,,,,,se vive
1789,,,se hace,,,,,,,,,,,,,se vive
1790,,,se hace,,,,,,,,,,,,,se vuelve
1791,,,se hace,,,,,,,,,,,,,se vuelven
1792,,,se hace sufrir,,,,,,,,,,,,,se vuelven
1793,,,se hacen,,,,,,,,,,,,,te acuerdas
1794,,,se hacía,,,,,,,,,,,,,te acuerdas
1795,,,se hacía,,,,,,,,,,,,,te aseguro
1796,,,se hallaba,,,,,,,,,,,,,te aseguro
1797,,,se han burlado,,,,,,,,,,,,,te asustas
1798,,,se han creído,,,,,,,,,,,,,te atreves
1799,,,se han perdido,,,,,,,,,,,,,te como
1800,,,se harta,,,,,,,,,,,,,te conmueve
1801,,,se haya amputado,,,,,,,,,,,,,te crees
1802,,,se haya dado,,,,,,,,,,,,,te crees
1803,,,se hiciesen,,,,,,,,,,,,,te da
1804,,,se hizo,,,,,,,,,,,,,te das prisa
1805,,,se hizo,,,,,,,,,,,,,te decides
1806,,,se hizo,,,,,,,,,,,,,te deja
1807,,,se hizo,,,,,,,,,,,,,te dejo
1808,,,se hizo,,,,,,,,,,,,,te digo
1809,,,se hizo,,,,,,,,,,,,,te digo
1810,,,se hubiese,,,,,,,,,,,,,te digo
1811,,,se hubiese,,,,,,,,,,,,,te digo
1812,,,se hubiesen,,,,,,,,,,,,,te digo
1813,,,se hunde,,,,,,,,,,,,,te digo
1814,,,se iba,,,,,,,,,,,,,te digo
1815,,,se imagina,,,,,,,,,,,,,te echa
1816,,,se imaginó,,,,,,,,,,,,,te echan
1817,,,se incorporó,,,,,,,,,,,,,te echo
1818,,,se indignaron ,,,,,,,,,,,,,te echo
1819,,,se infligen,,,,,,,,,,,,,te empeñas
1820,,,se informó,,,,,,,,,,,,,te enamoras
1821,,,se inmovilizaban,,,,,,,,,,,,,te entiendo
1822,,,se inventan,,,,,,,,,,,,,te entiendo
1823,,,se inventan,,,,,,,,,,,,,te entiendo
1824,,,se inventan,,,,,,,,,,,,,te entiendo
1825,,,se irá,,,,,,,,,,,,,te entiendo
1826,,,se irán,,,,,,,,,,,,,te eqivocas
1827,,,se irán,,,,,,,,,,,,,te equivocas
1828,,,se irían,,,,,,,,,,,,,te estoy
1829,,,se juega,,,,,,,,,,,,,te explicas
1830,,,se la daré,,,,,,,,,,,,,te figuras
1831,,,se la entendía,,,,,,,,,,,,,te figuras
1832,,,se la he concedido,,,,,,,,,,,,,te gusta
1833,,,se la llama,,,,,,,,,,,,,te habla
1834,,,se la lleva,,,,,,,,,,,,,te hablo
1835,,,se la llevó,,,,,,,,,,,,,te hace
1836,,,se la llevó,,,,,,,,,,,,,te honra
1837,,,se la llevó,,,,,,,,,,,,,te importa
1838,,,se la llevó,,,,,,,,,,,,,te importa
1839,,,se la regalo,,,,,,,,,,,,,te llamas
1840,,,se la tomarán,,,,,,,,,,,,,te llamas
1841,,,se las agradezco,,,,,,,,,,,,,te llamas
1842,,,se las mira,,,,,,,,,,,,,te llevan
1843,,,se las tenía,,,,,,,,,,,,,te lo aseguro
1844,,,se las ve,,,,,,,,,,,,,te lo digo
1845,,,se lavó,,,,,,,,,,,,,te lo digo
1846,,,se lavó,,,,,,,,,,,,,te lo niego
1847,,,se le acercó,,,,,,,,,,,,,te lo niego
1848,,,se le acercó,,,,,,,,,,,,,te lo niego
1849,,,se le acorchase,,,,,,,,,,,,,te lo repito
1850,,,se le alteraba,,,,,,,,,,,,,te lo repito
1851,,,se le antoje,,,,,,,,,,,,,te mato
1852,,,se le antoje,,,,,,,,,,,,,te parece
1853,,,se le atravesó,,,,,,,,,,,,,te parece
1854,,,se le borraron,,,,,,,,,,,,,te parece
1855,,,se le cerraban,,,,,,,,,,,,,te parece
1856,,,se le derretía,,,,,,,,,,,,,te parecen
1857,,,se le derritió,,,,,,,,,,,,,te parecen
1858,,,se le desencadenó,,,,,,,,,,,,,te parecen
1859,,,se le diese,,,,,,,,,,,,,te pasa
